Julian, orange juice, 4
Melanie, orange juice, 2
Asher, milk, 4
Isaac, coffee, 13
Madelyn, orange juice, 3
Ethan, milk, 5
Dylan, coffee, 4
Stella, hot chocolate, 2
Jeremiah, orange juice, 5
Daniel, hot chocolate, 2
London, coffee, 1
Ian, hot chocolate, 2
Henry, milk, 4
Matthew, orange juice, 5
Isaiah, coffee, 4
Aaron, orange juice, 4
Julian, milk, 4
Kinsley, orange juice, 3
Reagan, coffee, 4
Luke, tea, 5
Camila, coffee, 1
Mackenzie, hot chocolate, 2
Caleb, coffee, 7
Landon, tea, 3
Kayden, milk, 5
Brooklyn, coffee, 7
Kylie, coffee, 13
Oliver, milk, 5
Annabelle, coffee, 7
Arianna, orange juice, 5
Brianna, hot chocolate, 4
Mackenzie, milk, 2
Braxton, coffee, 1
Henry, orange juice, 5
Easton, milk, 5
Isaac, coffee, 7
Daniel, tea, 7
Lilly, hot chocolate, 1
Chase, orange juice, 3
Emily, hot chocolate, 2
Aaron, hot chocolate, 4
Luke, coffee, 4
Melanie, orange juice, 2
Taylor, coffee, 7
Luke, milk, 2
Skylar, milk, 1
Alyssa, hot chocolate, 1
Chase, milk, 4
Brody, coffee, 1
Caleb, milk, 3
Jordan, coffee, 7
Lauren, tea, 1
Elijah, orange juice, 1
Nathaniel, milk, 5
Lydia, milk, 3
Owen, milk, 4
Ayden, tea, 7
Michael, hot chocolate, 4
Nevaeh, hot chocolate, 2
Jonathan, coffee, 10
Reagan, coffee, 1
Julian, tea, 5
Sadie, tea, 1
Peyton, tea, 7
Cora, orange juice, 1
Jayden, tea, 9
Tristan, coffee, 13
Khloe, coffee, 10
Londyn, milk, 2
Brody, tea, 1
Angel, coffee, 13
Oliver, coffee, 13
Bailey, hot chocolate, 1
London, milk, 1
Alyssa, orange juice, 5
Grayson, milk, 1
Mia, hot chocolate, 1
Abigail, tea, 3
Zoey, orange juice, 4
Hannah, hot chocolate, 1
Daniel, hot chocolate, 5
Jackson, orange juice, 4
Gabriel, tea, 3
Leah, hot chocolate, 3
Matthew, tea, 1
Claire, tea, 7
Christopher, coffee, 13
Hannah, coffee, 7
Braxton, milk, 1
Scarlett, hot chocolate, 4
Sarah, coffee, 4
Ayden, milk, 4
Hannah, hot chocolate, 4
Jonathan, coffee, 4
Jeremiah, milk, 5
Isaac, tea, 5
Christopher, coffee, 13
Jackson, tea, 7
Serenity, hot chocolate, 1
Madison, tea, 9
Audrey, hot chocolate, 4
Lillian, orange juice, 4
Carter, milk, 1
Brody, coffee, 1
Sydney, orange juice, 5
Thomas, tea, 3
Joshua, milk, 2
Paisley, tea, 3
Hannah, tea, 9
Noah, coffee, 7
Addison, coffee, 4
Bryson, hot chocolate, 2
Andrew, tea, 7
Scarlett, coffee, 13
Jonathan, hot chocolate, 1
Chase, orange juice, 2
Kevin, tea, 7
Robert, hot chocolate, 2
Lucas, milk, 3
Jose, hot chocolate, 5
Levi, hot chocolate, 3
Makayla, milk, 4
Ian, hot chocolate, 2
Jacob, coffee, 4
Anthony, milk, 2
Owen, hot chocolate, 2
Josiah, hot chocolate, 2
Chase, hot chocolate, 5
Olivia, orange juice, 5
Annabelle, orange juice, 2
Julian, tea, 3
Sawyer, hot chocolate, 2
Kaiden, hot chocolate, 3
Jason, hot chocolate, 3
Joseph, orange juice, 1
Zoe, tea, 7
Eli, milk, 2
Emily, hot chocolate, 1
Aaron, hot chocolate, 3
Christopher, tea, 1
Kaiden, milk, 1
Caleb, tea, 5
James, tea, 5
Brayden, hot chocolate, 2
Arianna, milk, 4
Julian, orange juice, 2
Cooper, coffee, 7
Logan, coffee, 10
Brody, milk, 5
Alexa, tea, 5
Michael, tea, 5
Kinsley, coffee, 1
Carter, tea, 9
Asher, tea, 7
Austin, milk, 2
Ian, orange juice, 2
Sadie, coffee, 7
Parker, milk, 5
Aaliyah, coffee, 10
Olivia, orange juice, 2
Aaliyah, coffee, 7
Anna, coffee, 7
Ashton, milk, 5
Bentley, coffee, 7
Michael, orange juice, 3
Stella, milk, 1
Jeremiah, coffee, 7
Ryan, coffee, 4
Zachary, hot chocolate, 2
Camden, hot chocolate, 4
Easton, hot chocolate, 4
Isaiah, coffee, 7
Sebastian, milk, 5
Nathan, tea, 9
Isaac, hot chocolate, 2
Tyler, orange juice, 5
Alexis, milk, 1
Brooklyn, orange juice, 5
Bryson, tea, 7
Ellie, coffee, 1
Lillian, coffee, 13
Robert, orange juice, 2
Trinity, hot chocolate, 2
Lillian, coffee, 10
Aaliyah, hot chocolate, 3
Aiden, milk, 4
Morgan, hot chocolate, 3
Carson, coffee, 13
Leah, coffee, 1
Melanie, hot chocolate, 4
Kayden, coffee, 1
Nathan, tea, 3
Emma, hot chocolate, 1
Claire, hot chocolate, 5
Zoey, milk, 2
Charlotte, coffee, 13
Arianna, milk, 4
Noah, hot chocolate, 4
Lauren, hot chocolate, 4
Bryson, hot chocolate, 2
Connor, orange juice, 5
Sarah, orange juice, 4
Sydney, orange juice, 4
Audrey, milk, 5
Makayla, orange juice, 2
Tristan, coffee, 7
Jordan, hot chocolate, 5
Cameron, coffee, 7
Madison, orange juice, 5
Nathaniel, orange juice, 3
Scarlett, milk, 1
Aaliyah, tea, 1
Sophia, hot chocolate, 2
Christian, tea, 7
Khloe, tea, 7
Jaxon, hot chocolate, 2
Isabella, milk, 1
Nathan, coffee, 4
Leah, coffee, 4
Jack, orange juice, 4
Layla, milk, 2
Emma, milk, 3
Lily, hot chocolate, 5
Braxton, coffee, 7
Brantley, coffee, 10
Liam, milk, 1
Dominic, hot chocolate, 4
Camden, orange juice, 3
Isaiah, milk, 3
Braxton, hot chocolate, 3
Makayla, tea, 3
Mckenzie, coffee, 10
Sophia, milk, 1
Daniel, hot chocolate, 5
Bentley, tea, 7
Alyssa, orange juice, 5
Skylar, hot chocolate, 3
Bentley, hot chocolate, 4
Victoria, tea, 9
Melanie, orange juice, 1
Jayden, hot chocolate, 3
James, tea, 3
Amelia, hot chocolate, 4
Avery, milk, 4
Leah, orange juice, 2
Cooper, hot chocolate, 4
Isabella, tea, 9
James, tea, 7
Alyssa, hot chocolate, 5
Parker, tea, 7
Chase, hot chocolate, 1
Piper, orange juice, 4
Caleb, hot chocolate, 2
Stella, tea, 5
Brody, orange juice, 3
Ella, hot chocolate, 4
Robert, tea, 1
Brody, hot chocolate, 5
Alyssa, orange juice, 4
Genesis, coffee, 1
Cora, orange juice, 1
Scarlett, coffee, 13
Camden, orange juice, 1
Aiden, coffee, 1
Reagan, orange juice, 4
Camila, milk, 2
Christian, orange juice, 2
Jayden, tea, 3
Grace, orange juice, 1
Nathan, tea, 3
Trinity, coffee, 1
Nicholas, milk, 5
Hadley, hot chocolate, 4
Chloe, orange juice, 3
Isaiah, tea, 7
Sarah, milk, 2
Carson, milk, 4
Alyssa, hot chocolate, 1
Gabriella, hot chocolate, 4
Scarlett, orange juice, 4
Olivia, milk, 4
Samuel, coffee, 13
Audrey, orange juice, 1
Liam, coffee, 10
Naomi, tea, 7
Evan, milk, 5
Alexa, coffee, 10
Ella, hot chocolate, 3
Christian, orange juice, 3
Tristan, coffee, 4
Nora, milk, 5
Liam, milk, 2
Lucy, hot chocolate, 5
Hunter, coffee, 10
Tyler, coffee, 10
Aria, tea, 9
Annabelle, milk, 2
Benjamin, hot chocolate, 1
Asher, hot chocolate, 4
Lydia, hot chocolate, 5
Cameron, tea, 5
Lydia, milk, 1
Ayden, hot chocolate, 5
Sarah, milk, 2
Isaac, hot chocolate, 2
Jeremiah, orange juice, 1
Thomas, orange juice, 3
Benjamin, orange juice, 3
London, orange juice, 2
Gavin, coffee, 10
Jace, coffee, 7
Scarlett, milk, 3
Joseph, tea, 9
Brianna, hot chocolate, 4
Cora, coffee, 10
Owen, coffee, 4
Ella, hot chocolate, 1
Tristan, tea, 7
Zachary, orange juice, 2
Nathan, hot chocolate, 5
Gabriella, hot chocolate, 2
Logan, milk, 4
Christopher, milk, 3
Brayden, milk, 3
Peyton, coffee, 7
Easton, orange juice, 5
Elizabeth, hot chocolate, 2
Aubrey, coffee, 4
Sadie, coffee, 4
Sebastian, hot chocolate, 5
Luke, coffee, 10
Camden, tea, 3
Ethan, tea, 5
Michael, orange juice, 3
Abigail, hot chocolate, 1
Carter, tea, 3
Camila, tea, 7
Jordan, orange juice, 3
Liam, tea, 9
Naomi, milk, 3
Noah, coffee, 1
Joseph, orange juice, 2
Levi, coffee, 10
Claire, orange juice, 1
Carter, tea, 9
Mackenzie, tea, 5
Landon, tea, 9
Dylan, coffee, 7
Kevin, tea, 7
Michael, hot chocolate, 1
Aubree, coffee, 7
Allison, hot chocolate, 4
Grayson, tea, 9
Miles, hot chocolate, 3
Sawyer, orange juice, 4
John, hot chocolate, 4
Henry, milk, 1
Wyatt, hot chocolate, 1
Micah, coffee, 13
Jayden, milk, 4
Layla, orange juice, 5
Zachary, orange juice, 1
Jayceon, hot chocolate, 1
Benjamin, orange juice, 1
Hailey, coffee, 7
Dominic, hot chocolate, 1
Lucy, milk, 1
Taylor, orange juice, 3
Angel, milk, 1
Sophie, milk, 4
Benjamin, hot chocolate, 5
Claire, coffee, 7
Jordan, coffee, 10
Colton, coffee, 13
Lily, orange juice, 1
Makayla, hot chocolate, 2
London, milk, 3
Abigail, orange juice, 5
Lauren, hot chocolate, 2
Mason, hot chocolate, 4
Jonathan, coffee, 7
Skylar, hot chocolate, 1
Henry, milk, 3
Madeline, orange juice, 5
Brandon, coffee, 4
Serenity, coffee, 4
Annabelle, hot chocolate, 2
